Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Refunds,Total Extra Data Charges,Customer Status
Male,60,Yes,3,7,27,Yes,25.26,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,0.0,0,0
Male,69,No,0,0,2,Yes,43.99,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,0.0,0,1
Female,20,No,0,0,27,Yes,48.91,No,Yes,One Year,No,Credit Card,78.2,0.0,0,0
Male,31,Yes,3,1,25,Yes,23.69,Yes,No,Two Year,No,Credit Card,25.5,44.42,0,0
Male,46,Yes,0,5,25,Yes,6.45,No,Yes,One Year,Yes,Bank Withdrawal,61.6,44.9,0,0
Male,57,No,1,0,29,No,25.69,No,Yes,Month-to-Month,Yes,Credit Card,45.0,12.26,0,0
Male,19,Yes,0,5,72,Yes,32.36,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,0.0,0,0
Female,64,No,0,0,14,Yes,24.04,No,Yes,One Year,No,Credit Card,51.45,0.0,0,0
Female,38,No,0,0,35,Yes,36.42,No,Yes,One Year,Yes,Bank Withdrawal,99.25,0.0,0,0
Male,50,No,0,0,29,Yes,2.05,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.2,0.0,20,0
Male,25,No,0,0,64,Yes,5.49,Yes,Yes,One Year,No,Bank Withdrawal,81.25,0.0,40,0
Female,35,Yes,3,1,39,Yes,24.38,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,0.0,0,0
Female,72,No,0,0,40,Yes,44.14,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,0.0,0,0
Male,51,No,0,0,40,Yes,37.69,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,0.0,0,1
Female,78,No,1,0,11,Yes,11.59,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.0,0.0,120,1
Female,30,Yes,0,10,6,Yes,42.66,Yes,Yes,Month-to-Month,No,Bank Withdrawal,50.35,0.0,0,0
Male,58,No,0,0,30,Yes,2.64,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,0.0,0,0
Male,26,No,0,0,27,Yes,20.66,No,No,Month-to-Month,Yes,Bank Withdrawal,19.4,0.0,0,0
Male,66,Yes,0,3,70,Yes,39.49,Yes,Yes,One Year,Yes,Bank Withdrawal,104.8,6.11,0,0
Female,20,Yes,0,10,57,Yes,8.01,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,0.0,0,0
Male,61,Yes,0,10,58,Yes,18.37,No,Yes,One Year,No,Credit Card,50.3,10.23,0,0
Male,24,No,0,0,16,Yes,25.71,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,0.0,0,0
Female,55,Yes,0,3,69,Yes,38.52,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,0.0,0,0
Male,32,No,0,0,1,Yes,31.77,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85,0.0,0,1
Male,59,No,0,0,1,Yes,40.71,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,0.0,0,1
Male,71,Yes,1,9,32,Yes,31.86,No,Yes,One Year,Yes,Mailed Check,93.95,0.0,0,0
Male,49,Yes,2,8,16,Yes,48.71,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,0.0,0,0
Male,61,Yes,0,1,49,Yes,39.55,Yes,Yes,One Year,No,Bank Withdrawal,84.35,0.0,0,1
Female,40,Yes,0,2,71,No,25.69,No,Yes,Two Year,No,Bank Withdrawal,58.25,0.0,0,0
Female,39,No,0,0,33,Yes,49.69,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,0.0,0,0
Female,21,Yes,0,9,10,Yes,49.6,No,No,Month-to-Month,Yes,Bank Withdrawal,19.95,0.0,0,0
Male,24,Yes,0,1,21,Yes,36.26,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,111.2,0.0,120,1
Male,52,Yes,1,1,37,No,25.69,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,0.0,0,1
Female,71,No,0,0,26,Yes,33.74,No,Yes,Month-to-Month,Yes,Credit Card,85.8,0.0,0,0
Male,45,No,0,0,50,No,25.69,No,Yes,One Year,Yes,Credit Card,35.4,0.0,0,0
Female,29,No,0,0,7,Yes,28.62,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,13.03,0,1
Female,62,Yes,0,1,61,Yes,47.19,Yes,Yes,Two Year,No,Mailed Check,88.1,0.0,0,0
Male,42,No,0,0,15,Yes,45.92,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,0.0,0,1
Female,51,No,2,0,26,No,25.69,No,Yes,Month-to-Month,No,Credit Card,45.8,0.0,0,0
Male,39,Yes,0,9,72,Yes,33.22,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,0.0,0,0
Male,64,Yes,0,1,44,Yes,27.4,No,No,One Year,Yes,Bank Withdrawal,20.5,0.0,0,0
Male,55,No,0,0,66,Yes,48.78,Yes,Yes,Month-to-Month,No,Credit Card,89.4,36.02,40,0
Female,40,No,0,0,2,Yes,36.81,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,0.0,0,1
Female,76,No,0,0,44,Yes,7.72,No,Yes,One Year,No,Bank Withdrawal,74.85,17.91,0,0
Female,57,No,0,0,12,Yes,14.38,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,0.0,0,1
Male,71,Yes,0,1,69,Yes,18.41,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.95,0.0,0,0
Female,25,No,0,0,1,Yes,1.23,Yes,Yes,Month-to-Month,Yes,Mailed Check,80.2,0.0,0,1
Female,24,No,0,0,3,Yes,25.75,No,No,Month-to-Month,No,Credit Card,19.85,0.0,0,1
Female,77,No,0,0,27,Yes,2.97,Yes,Yes,Two Year,Yes,Bank Withdrawal,86.45,0.0,0,0
Male,57,No,0,0,26,Yes,13.34,No,No,Month-to-Month,Yes,Bank Withdrawal,20.3,0.0,0,0
Female,73,Yes,0,9,39,Yes,20.15,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,0.0,0,0
Male,41,No,0,0,25,Yes,34.88,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,0.0,0,1
Female,43,No,0,0,1,Yes,39.81,No,Yes,Month-to-Month,No,Mailed Check,70.9,0.0,0,1
Male,48,Yes,0,1,22,Yes,27.24,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,0.0,0,1
Female,56,No,0,0,72,Yes,48.37,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,0.0,0,0
Female,51,No,0,0,24,Yes,10.64,No,No,Two Year,Yes,Bank Withdrawal,19.55,0.0,0,0
Female,34,Yes,0,8,19,Yes,7.84,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,0.0,0,0
Male,21,Yes,2,2,71,Yes,9.2,Yes,No,Two Year,No,Credit Card,25.35,0.0,0,0
Male,78,Yes,0,7,33,Yes,25.15,Yes,Yes,One Year,Yes,Bank Withdrawal,109.9,0.0,0,0
Male,54,Yes,1,7,47,Yes,1.09,Yes,Yes,Month-to-Month,No,Bank Withdrawal,87.2,0.0,0,0
Male,42,Yes,3,2,62,Yes,1.76,No,Yes,Two Year,No,Credit Card,108.15,0.0,0,0
Male,22,No,0,0,71,Yes,2.88,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,0.0,0,0
Male,71,Yes,0,8,7,Yes,41.97,No,Yes,Two Year,Yes,Bank Withdrawal,89.0,0.0,0,0
Female,56,Yes,2,6,27,Yes,46.66,No,Yes,Month-to-Month,No,Credit Card,74.4,0.0,0,0
Female,32,No,3,0,25,No,25.69,No,Yes,Two Year,No,Bank Withdrawal,35.05,0.0,0,0
Male,80,No,0,0,30,Yes,38.61,No,Yes,One Year,Yes,Bank Withdrawal,74.75,0.0,0,0
Female,73,Yes,0,1,58,Yes,16.94,No,Yes,One Year,Yes,Credit Card,105.5,0.0,0,1
Male,26,Yes,0,1,10,Yes,2.02,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.25,0.0,100,1
Female,59,No,0,0,9,Yes,9.27,Yes,Yes,Month-to-Month,Yes,Credit Card,75.2,0.0,0,0
Female,78,Yes,0,1,6,Yes,28.71,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,0.0,0,1
Female,47,Yes,1,7,69,Yes,38.92,Yes,Yes,One Year,No,Bank Withdrawal,84.45,0.0,40,0
Female,68,No,0,0,66,Yes,10.45,Yes,Yes,Two Year,Yes,Bank Withdrawal,102.4,0.0,0,0
Female,30,No,0,0,70,Yes,10.21,Yes,Yes,One Year,No,Credit Card,115.55,0.0,0,1
Male,62,No,0,0,25,Yes,5.57,Yes,No,One Year,No,Bank Withdrawal,25.3,0.0,0,1
Female,52,Yes,2,1,46,Yes,24.33,No,No,Two Year,Yes,Credit Card,19.25,0.0,0,0
Female,63,Yes,0,7,54,Yes,11.4,Yes,Yes,One Year,Yes,Credit Card,114.65,0.0,0,0
Female,54,No,0,0,15,Yes,22.39,No,Yes,Month-to-Month,No,Bank Withdrawal,105.1,0.0,0,1
Female,48,Yes,1,0,12,Yes,8.25,No,No,Month-to-Month,No,Bank Withdrawal,19.4,0.0,0,0
Female,51,No,0,0,22,No,25.69,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.35,0.0,0,0
Female,22,Yes,0,9,70,No,25.69,No,Yes,Two Year,No,Bank Withdrawal,57.8,1.01,0,0
Male,52,No,0,0,30,Yes,24.73,No,Yes,Month-to-Month,Yes,Credit Card,84.3,0.0,130,0
Male,22,Yes,1,1,71,Yes,28.34,Yes,Yes,One Year,No,Bank Withdrawal,100.55,16.99,0,0
Male,33,Yes,0,2,30,Yes,9.81,No,No,One Year,No,Credit Card,19.8,0.0,0,0
Male,26,Yes,0,5,4,Yes,28.77,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,0.0,0,1
Male,58,No,0,0,2,Yes,14.14,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.85,0.0,0,1
Male,22,No,1,0,10,Yes,7.86,No,No,One Year,Yes,Bank Withdrawal,19.95,0.0,0,0
Male,66,No,0,0,4,Yes,36.4,No,Yes,One Year,No,Bank Withdrawal,75.35,0.0,0,0
Male,69,No,0,0,52,No,25.69,No,Yes,Two Year,Yes,Credit Card,48.8,0.0,0,0
Male,25,No,0,0,5,Yes,22.01,Yes,Yes,Month-to-Month,No,Bank Withdrawal,47.15,0.0,0,1
Male,30,Yes,3,1,8,Yes,2.87,No,No,Two Year,No,Credit Card,20.15,0.0,0,0
Male,40,No,0,0,19,Yes,11.85,Yes,Yes,Month-to-Month,No,Bank Withdrawal,59.55,0.0,0,0
Male,53,No,0,0,72,Yes,3.66,Yes,Yes,Two Year,No,Bank Withdrawal,69.65,0.0,0,0
Male,76,Yes,0,2,63,No,25.69,No,Yes,One Year,No,Bank Withdrawal,36.1,0.0,0,0
Male,38,Yes,0,1,66,No,25.69,No,Yes,Two Year,Yes,Bank Withdrawal,56.6,0.0,0,0
Male,23,No,0,0,1,Yes,44.56,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.9,0.0,0,1
Female,24,No,0,0,60,Yes,15.29,Yes,Yes,One Year,Yes,Bank Withdrawal,79.2,0.0,0,0
Female,43,Yes,3,3,48,No,25.69,No,Yes,One Year,No,Credit Card,45.0,0.0,0,0
Female,45,No,0,0,1,Yes,33.34,No,Yes,Month-to-Month,Yes,Credit Card,85.55,0.0,0,1
Male,49,No,0,0,15,Yes,48.93,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.35,0.0,0,1
Female,62,Yes,0,4,50,Yes,34.57,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,109.65,0.0,0,0
Male,25,Yes,1,10,72,Yes,33.75,Yes,Yes,Two Year,No,Credit Card,89.7,0.0,0,0
Female,37,No,0,0,46,Yes,43.27,Yes,Yes,Month-to-Month,No,Credit Card,84.25,0.0,100,0
Female,35,Yes,1,4,72,Yes,30.0,Yes,Yes,Two Year,No,Bank Withdrawal,92.65,0.0,0,0
Female,69,No,0,0,67,Yes,2.57,No,Yes,Two Year,Yes,Bank Withdrawal,92.45,0.0,0,0
Female,44,Yes,1,5,48,Yes,8.94,Yes,Yes,Two Year,No,Bank Withdrawal,79.65,0.0,0,0
Female,19,No,0,0,72,Yes,41.91,No,Yes,Two Year,Yes,Bank Withdrawal,109.9,0.0,0,0
Male,64,Yes,0,6,52,Yes,41.34,Yes,Yes,One Year,Yes,Credit Card,81.4,0.0,0,0
Female,44,Yes,3,1,67,Yes,46.9,No,Yes,One Year,No,Credit Card,50.55,0.0,0,0
Female,58,Yes,0,1,28,Yes,16.85,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.05,0.0,0,1
Female,29,Yes,1,9,32,Yes,33.28,Yes,Yes,Month-to-Month,No,Bank Withdrawal,62.45,0.0,0,0
Female,80,Yes,0,2,27,Yes,7.02,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,0.0,0,1
Male,22,No,0,0,2,Yes,40.43,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,0.0,0,1
Female,50,No,2,0,9,Yes,35.49,No,Yes,Month-to-Month,Yes,Credit Card,72.9,0.0,0,1
Male,53,Yes,2,10,50,Yes,44.49,Yes,Yes,Two Year,Yes,Credit Card,70.5,0.0,0,0
Female,45,Yes,2,1,71,Yes,31.03,No,No,Two Year,No,Bank Withdrawal,20.1,0.0,0,0
Male,76,Yes,0,2,32,Yes,47.34,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,0.0,0,1
Female,57,Yes,3,10,16,Yes,27.27,No,Yes,Month-to-Month,No,Bank Withdrawal,100.7,0.0,0,0
Female,45,Yes,3,8,67,Yes,17.79,Yes,Yes,Two Year,Yes,Bank Withdrawal,105.65,0.0,0,0
Male,43,Yes,1,1,72,Yes,15.94,Yes,Yes,Two Year,Yes,Credit Card,114.3,0.0,0,0
Female,41,No,0,0,3,Yes,24.63,No,No,Month-to-Month,No,Bank Withdrawal,19.75,0.0,0,1
Male,22,Yes,3,1,23,Yes,48.02,Yes,No,One Year,No,Credit Card,24.35,0.0,0,0
Male,62,Yes,2,1,72,Yes,28.37,Yes,Yes,Two Year,No,Bank Withdrawal,69.85,25.24,0,0
Male,21,Yes,2,9,7,No,25.69,No,Yes,Month-to-Month,No,Credit Card,-3.0,0.0,0,0
Male,49,Yes,3,10,8,Yes,1.56,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.4,0.0,0,0
Male,33,Yes,4,9,66,No,25.69,No,Yes,Two Year,No,Bank Withdrawal,50.55,0.0,110,0
Male,30,No,0,0,5,Yes,34.26,No,No,Month-to-Month,No,Credit Card,21.05,0.0,0,1
Male,38,No,1,0,49,Yes,44.33,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.7,0.0,0,1
Male,56,Yes,0,2,63,Yes,38.36,No,No,Two Year,Yes,Bank Withdrawal,19.95,0.0,0,0
Female,70,Yes,1,1,12,No,25.69,No,Yes,Month-to-Month,Yes,Mailed Check,29.3,0.0,0,0
Male,54,Yes,6,5,27,Yes,36.19,No,Yes,Month-to-Month,Yes,Credit Card,54.75,0.0,0,0
Female,57,No,0,0,35,Yes,44.81,No,Yes,Month-to-Month,No,Bank Withdrawal,60.55,0.0,0,0
Female,40,Yes,2,7,54,Yes,4.33,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.2,0.0,0,0
Male,56,No,0,0,1,Yes,5.59,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,0.0,0,1
Male,38,No,0,0,5,Yes,13.96,No,Yes,Month-to-Month,Yes,Credit Card,63.95,0.0,0,0
Male,61,No,0,0,19,Yes,41.79,No,Yes,One Year,Yes,Bank Withdrawal,65.35,0.0,60,0
Male,35,Yes,2,1,52,No,25.69,No,Yes,Two Year,No,Credit Card,50.2,27.01,0,0
Female,61,Yes,3,8,72,No,25.69,No,Yes,Two Year,Yes,Bank Withdrawal,63.8,0.0,0,0
Male,50,No,0,0,32,Yes,14.91,No,No,Two Year,Yes,Bank Withdrawal,20.05,9.73,0,0
Female,47,Yes,0,1,8,Yes,16.88,No,Yes,Month-to-Month,No,Bank Withdrawal,101.15,0.0,0,1
Male,35,No,0,0,41,Yes,37.55,Yes,Yes,One Year,No,Mailed Check,65.0,0.0,140,0
Male,32,No,0,0,5,Yes,21.01,No,No,Month-to-Month,Yes,Credit Card,19.25,0.0,0,0
Female,54,No,1,0,11,No,25.69,No,Yes,One Year,Yes,Credit Card,36.05,0.0,100,0
Male,61,No,0,0,5,Yes,31.09,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.1,0.0,0,1
Female,62,No,0,0,16,Yes,41.51,No,No,One Year,No,Credit Card,19.05,0.0,0,0
Male,80,No,0,0,71,Yes,6.1,Yes,Yes,One Year,No,Bank Withdrawal,105.75,0.0,0,0
Female,23,No,0,0,11,No,25.69,No,Yes,One Year,Yes,Credit Card,40.4,0.0,0,0
Female,63,Yes,0,1,61,Yes,49.33,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.15,0.0,0,1
Female,50,Yes,0,2,71,Yes,23.06,No,Yes,One Year,Yes,Bank Withdrawal,84.8,0.0,0,0
Male,56,No,0,0,9,Yes,40.74,No,No,Month-to-Month,No,Credit Card,19.85,0.0,0,0
Female,63,No,0,0,6,Yes,39.16,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.45,0.0,0,0
Female,58,No,0,0,26,Yes,38.09,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.8,0.0,50,1
Female,29,No,0,0,6,Yes,6.98,No,Yes,Month-to-Month,No,Mailed Check,55.15,0.0,0,0
Male,54,No,0,0,11,Yes,30.57,No,Yes,Month-to-Month,No,Bank Withdrawal,84.8,0.0,0,0
Male,25,Yes,0,1,1,Yes,43.67,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.55,0.0,0,1
Female,31,Yes,0,10,49,Yes,2.82,No,No,Two Year,Yes,Bank Withdrawal,20.15,0.0,0,0
Female,46,No,0,0,53,Yes,43.57,No,Yes,Two Year,No,Credit Card,99.5,0.0,0,0
Male,28,Yes,0,1,23,Yes,37.95,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.85,0.0,0,1
Male,63,No,0,0,2,Yes,25.49,No,Yes,Month-to-Month,No,Bank Withdrawal,45.35,0.0,0,1
Male,37,No,0,0,1,Yes,11.35,No,Yes,Month-to-Month,Yes,Credit Card,48.55,0.0,0,1
Female,74,Yes,0,1,68,Yes,21.33,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.2,0.0,0,1
Male,44,No,0,0,8,Yes,19.49,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,0.0,80,1
Female,21,Yes,0,9,70,Yes,16.66,Yes,Yes,One Year,Yes,Bank Withdrawal,97.65,0.0,80,0
Male,62,Yes,3,9,39,Yes,17.29,Yes,Yes,One Year,No,Bank Withdrawal,100.0,0.0,0,0
Female,43,No,0,0,1,Yes,17.37,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.1,0.0,0,1
Female,40,No,0,0,3,Yes,30.18,No,Yes,Month-to-Month,Yes,Bank Withdrawal,97.9,0.0,0,1
Male,48,Yes,0,8,60,Yes,19.22,Yes,Yes,One Year,No,Bank Withdrawal,102.5,0.0,0,0
Female,55,Yes,0,1,5,Yes,17.08,No,Yes,Month-to-Month,No,Bank Withdrawal,69.95,0.0,0,1
Male,77,No,0,0,3,Yes,9.22,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,0.0,0,1
Female,41,Yes,0,0,55,Yes,35.38,Yes,Yes,One Year,Yes,Credit Card,66.05,44.53,150,0
Male,43,No,0,0,72,No,25.69,No,Yes,Two Year,Yes,Credit Card,61.2,0.0,0,0
Male,69,Yes,0,7,72,Yes,5.27,No,Yes,Two Year,No,Bank Withdrawal,74.4,0.0,140,0
Female,63,No,0,0,41,Yes,10.43,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,106.3,0.0,130,1
Male,38,No,0,0,60,No,25.69,No,Yes,Two Year,No,Bank Withdrawal,39.6,38.46,0,0
Female,43,No,0,0,6,Yes,2.6,No,Yes,Month-to-Month,No,Bank Withdrawal,89.3,0.0,0,1
Female,29,Yes,0,6,46,Yes,2.0,Yes,Yes,Two Year,Yes,Credit Card,108.9,0.0,0,0
Female,46,No,0,0,15,Yes,2.74,No,No,Month-to-Month,No,Mailed Check,19.9,0.0,0,0
Female,33,Yes,0,1,58,Yes,3.51,Yes,Yes,Month-to-Month,Yes,Credit Card,102.1,0.0,100,1
Male,60,Yes,3,10,23,Yes,34.04,No,No,Two Year,No,Credit Card,19.6,0.0,0,0
Female,70,Yes,0,1,31,Yes,47.95,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,0.0,0,1
Male,54,Yes,0,1,11,Yes,12.95,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.9,0.0,0,0
Female,80,No,0,0,56,Yes,17.33,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.9,0.0,0,0
Female,41,No,3,0,25,Yes,12.87,No,No,Month-to-Month,No,Credit Card,20.05,0.0,0,0
Female,38,No,0,0,68,No,25.69,No,Yes,Two Year,No,Credit Card,-8.0,0.0,130,0
Female,48,No,0,0,40,Yes,26.03,No,No,Two Year,No,Credit Card,19.65,0.0,0,0
Male,46,No,0,0,36,Yes,24.66,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.9,0.0,0,1
Male,22,No,0,0,32,Yes,27.69,Yes,Yes,Month-to-Month,Yes,Credit Card,108.15,0.0,0,1
Male,28,Yes,3,10,71,Yes,10.11,Yes,Yes,Two Year,No,Bank Withdrawal,86.85,0.0,0,0
Male,58,Yes,0,2,17,Yes,10.11,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,102.55,0.0,0,0
Male,55,Yes,0,6,18,Yes,31.79,No,Yes,Month-to-Month,No,Bank Withdrawal,78.2,0.0,0,0
Female,52,No,0,0,37,Yes,11.73,Yes,Yes,Month-to-Month,No,Bank Withdrawal,91.2,0.0,0,0
Female,56,Yes,2,6,28,Yes,12.94,No,Yes,One Year,Yes,Bank Withdrawal,70.4,0.0,0,0
Male,34,No,0,0,9,No,25.69,No,Yes,One Year,No,Credit Card,39.55,0.0,0,0
Male,59,Yes,0,1,65,Yes,23.46,No,No,Two Year,Yes,Credit Card,20.4,0.0,0,0
Female,31,No,0,0,1,No,25.69,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,0.0,0,1
Male,24,Yes,0,3,36,Yes,41.33,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.6,16.56,0,0
Male,21,No,0,0,23,Yes,38.69,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.6,4.73,0,1
Male,21,Yes,3,9,22,Yes,42.58,No,Yes,Month-to-Month,Yes,Credit Card,57.95,0.0,0,0
Female,56,Yes,0,1,72,Yes,4.56,Yes,Yes,Two Year,No,Credit Card,112.1,18.88,0,0
